Recording,Completeness,Validity,Consistency,Overall
unknown,1.0,0.3281,1.0,0.776
unknown,1.0,0.091,1.0,0.697
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4999,1.0,0.8333
unknown,1.0,0.0295,1.0,0.6765
unknown,1.0,0.5535,1.0,0.8512
unknown,1.0,0.2997,1.0,0.7666
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4941,1.0,0.8314
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.6086,1.0,0.8695
unknown,1.0,0.4882,1.0,0.8294
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0501,1.0,0.6834
unknown,1.0,0.4203,1.0,0.8068
unknown,1.0,0.3752,1.0,0.7917
unknown,1.0,0.135,1.0,0.7117
unknown,1.0,0.2614,1.0,0.7538
unknown,1.0,0.102,1.0,0.7007
unknown,1.0,0.6554,1.0,0.8851
unknown,1.0,0.5701,1.0,0.8567
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.2075,1.0,0.7358
unknown,1.0,0.5648,1.0,0.8549
unknown,1.0,0.2165,1.0,0.7388
unknown,1.0,0.5298,1.0,0.8433
unknown,1.0,0.2587,1.0,0.7529
unknown,1.0,0.592,1.0,0.864
unknown,1.0,0.2601,1.0,0.7534
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1114,1.0,0.7038
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1749,1.0,0.725
unknown,1.0,0.5526,1.0,0.8509
unknown,1.0,0.2781,1.0,0.7594
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4227,1.0,0.8076
unknown,1.0,0.0415,1.0,0.6805
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.3084,1.0,0.7695
unknown,1.0,0.343,1.0,0.781
unknown,1.0,0.2135,1.0,0.7378
unknown,1.0,0.2405,1.0,0.7468
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1145,1.0,0.7048
unknown,1.0,0.3161,1.0,0.772
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4682,1.0,0.8227
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.472,1.0,0.824
unknown,1.0,0.3224,1.0,0.7741
unknown,1.0,0.5009,1.0,0.8336
unknown,1.0,0.3734,1.0,0.7911
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.095,1.0,0.6983
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4028,1.0,0.8009
unknown,1.0,0.0466,1.0,0.6822
unknown,1.0,0.2121,1.0,0.7374
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.2828,1.0,0.7609
unknown,1.0,0.4037,1.0,0.8012
unknown,1.0,0.0504,1.0,0.6835
unknown,1.0,0.268,1.0,0.756
unknown,1.0,0.5691,1.0,0.8564
unknown,1.0,0.374,1.0,0.7913
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.5111,1.0,0.837
unknown,1.0,0.3258,1.0,0.7753
unknown,1.0,0.5868,1.0,0.8623
unknown,1.0,0.6502,1.0,0.8834
unknown,1.0,0.5141,1.0,0.838
unknown,1.0,0.6388,1.0,0.8796
unknown,1.0,0.4322,1.0,0.8107
unknown,1.0,0.4366,1.0,0.8122
unknown,1.0,0.478,1.0,0.826
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0333,1.0,0.6778
unknown,1.0,0.1086,1.0,0.7029
unknown,1.0,0.1767,1.0,0.7256
unknown,1.0,0.5012,1.0,0.8337
unknown,1.0,0.1602,1.0,0.7201
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1755,1.0,0.7252
unknown,1.0,0.4602,1.0,0.8201
unknown,1.0,0.2103,1.0,0.7368
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.7222,1.0,0.9074
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.667,1.0,0.889
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0828,1.0,0.6943
unknown,1.0,0.5108,1.0,0.8369
unknown,1.0,0.3999,1.0,0.8
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0152,1.0,0.6717
unknown,1.0,0.1314,1.0,0.7105
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1518,1.0,0.7173
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.3454,1.0,0.7818
unknown,1.0,0.5663,1.0,0.8554
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4006,1.0,0.8002
unknown,1.0,0.5292,1.0,0.8431
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4976,1.0,0.8325
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.7171,1.0,0.9057
unknown,1.0,0.3238,1.0,0.7746
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0526,1.0,0.6842
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.2482,1.0,0.7494
unknown,1.0,0.6212,1.0,0.8737
unknown,1.0,0.2947,1.0,0.7649
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.4233,1.0,0.8078
unknown,1.0,0.2714,1.0,0.7571
unknown,1.0,0.462,1.0,0.8207
unknown,1.0,0.2869,1.0,0.7623
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1203,1.0,0.7068
unknown,1.0,0.6162,1.0,0.8721
unknown,1.0,0.616,1.0,0.872
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.0,1.0,0.6667
unknown,1.0,0.1256,1.0,0.7085
unknown,1.0,0.0251,1.0,0.675
unknown,1.0,0.255,1.0,0.7517
unknown,1.0,0.5049,1.0,0.835
